"SNPID","Position","Disease/Trait name","P value","PMID","Chr"
"rs10070303","177840382","Obesity-related traits","6.00e-6","23251661","5"
"rs1007047","67110717","Obesity (body mass index (BMI))","2.04e-4","21935397","5"
"rs10071585","68245920","Obesity with early age of onset (age >2)","1.41e-4","22484627","5"
"rs1007279","32714826","Obesity (body mass index (BMI))","4.01e-5","21935397","14"
"rs1007304","24331592","Obesity with early age of onset (age >2)","9.38e-4","22484627","21"
"rs10073086","164532314","Obesity (body mass index (BMI))","8.96e-4","21935397","5"
"rs10073413","99049676","Obesity with early age of onset (age >2)","8.88e-4","22484627","5"
"rs1007347","94530518","Obesity (body mass index (BMI))","2.06e-5","21935397","1"
"rs10074525","90209824","Obesity-related traits","9.00e-6","23251661","5"
"rs10074627","64934262","Obesity (body mass index (BMI))","3.53e-4","21935397","5"
"rs10075809","122703026","Obesity with early age of onset (age >2)","1.11e-4","22484627","5"
"rs10077875","128722696","Obesity-related traits","9.00e-6","23251661","5"
"rs10078240","68326569","Obesity with early age of onset (age >2)","5.75e-4","22484627","5"
"rs10078499","138020898","Obesity with early age of onset (age >2)","7.80e-4","22484627","5"
"rs1008736","176289736","Obesity with early age of onset (age >2)","8.08e-4","22484627","1"
"rs1008892","157421424","Obesity with early age of onset (age >2)","4.46e-4","22484627","3"
"rs1008893","157421613","Obesity with early age of onset (age >2)","4.52e-4","22484627","3"
"rs1008917","65059651","Obesity with early age of onset (age >2)","7.05e-4","22484627","15"
"rs10089694","5221093","Obesity (body mass index (BMI))","7.09e-4","21935397","8"
"rs1008998","51394015","Obesity with early age of onset (age >2)","6.02e-4","22484627","20"
"rs10090632","127585326","Obesity (body mass index (BMI))","5.24e-4","21935397","8"
"rs10091125","77094272","Obesity (body mass index (BMI))","8.08e-4","21935397","8"
"rs10095180","60092215","Obesity with early age of onset (age >2)","7.86e-4","22484627","8"
"rs10095552","127363405","Obesity (body mass index (BMI))","2.70e-4","21935397","8"
"rs10098647","61105199","Obesity-related traits","5.00e-6","23251661","8"
"rs10100261","77097912","Obesity (body mass index (BMI))","5.82e-4","21935397","8"
"rs1010035","35099477","Obesity with early age of onset (age >2)","6.14e-4","22484627","22"
"rs10102325","77059481","Obesity (body mass index (BMI))","6.87e-4","21935397","8"
"rs10102558","77059673","Obesity (body mass index (BMI))","9.44e-4","21935397","8"
"rs10102742","132304508","Obesity (body mass index (BMI))","6.97e-4","21935397","8"
"rs10103327","77081322","Obesity (body mass index (BMI))","7.78e-4","21935397","8"
"rs1010447","11269796","Obesity with early age of onset (age >2)","2.30e-5","22484627","1"
"rs10107366","99113687","Obesity-related traits","6.00e-7","23251661","8"
"rs10109060","95377368","Obesity with early age of onset (age >2)","6.49e-4","22484627","8"
"rs10110589","126603390","Obesity (body mass index (BMI))","4.72e-4","21935397","8"
"rs1011138","38561949","Obesity (body mass index (BMI))","1.00e-4","21935397","11"
"rs1011397","144690117","Obesity-related traits","8.00e-6","23251661","2"
"rs10114029","129512251","Obesity (body mass index (BMI))","7.52e-4","21935397","9"
"rs10115711","115655263","Obesity (body mass index (BMI))","9.74e-4","21935397","9"
"rs10119727","136828368","Obesity with early age of onset (age >2)","3.17e-4","22484627","9"
"rs10120133","27750034","Obesity (body mass index (BMI))","6.89e-4","21935397","9"
"rs10121527","129431213","Obesity (body mass index (BMI))","1.59e-4","21935397","9"
"rs10124260","115559341","Obesity (body mass index (BMI))","2.32e-4","21935397","9"
"rs1012459","86060128","Obesity with early age of onset (age >2)","7.70e-4","22484627","13"
"rs10124697","135589689","Obesity (body mass index (BMI))","2.82e-4","21935397","9"
"rs10124939","115654683","Obesity (body mass index (BMI))","9.00e-4","21935397","9"
"rs10124979","115654843","Obesity (body mass index (BMI))","9.43e-4","21935397","9"
"rs10125054","114798037","Obesity-related traits","4.00e-6","23251661","9"
"rs10125337","97444038","Obesity-related traits","4.00e-6","23251661","9"
"rs10125737","81083897","Obesity-related traits","6.00e-6","23251661","9"
"rs10127830","34862238","Obesity with early age of onset (age >2)","4.74e-4","22484627","1"
"rs10128746","115075436","Obesity (body mass index (BMI))","5.89e-4","21935397","11"
"rs10130040","74713682","Obesity (body mass index (BMI))","9.74e-4","21935397","14"
"rs10130259","83342322","Obesity-related traits","4.00e-6","23251661","14"
"rs10131141","21261733","Obesity-related traits","8.00e-8","23251661","14"
"rs1013162","199655213","Obesity (body mass index (BMI))","9.03e-4","21935397","2"
"rs10134241","40022963","Obesity (body mass index (BMI))","1.96e-4","21935397","14"
"rs10136208","61958044","Obesity (body mass index (BMI))","7.90e-4","21935397","14"
"rs10136270","23749574","Obesity with early age of onset (age >2)","9.14e-4","22484627","14"
"rs10138500","101829508","Obesity (body mass index (BMI))","7.05e-4","21935397","14"
"rs10139769","22793465","Obesity (body mass index (BMI))","4.63e-5","21935397","14"
"rs10140059","39979753","Obesity (body mass index (BMI))","2.36e-4","21935397","14"
"rs10140593","80591998","Obesity (body mass index (BMI))","1.55e-4","21935397","14"
"rs10142706","74717304","Obesity (body mass index (BMI))","8.93e-4","21935397","14"
"rs10144278","23749595","Obesity with early age of onset (age >2)","9.51e-4","22484627","14"
"rs10145223","32701467","Obesity (body mass index (BMI))","2.33e-4","21935397","14"
"rs1014535","17899646","Obesity (body mass index (BMI))","3.13e-4","21935397","6"
"rs1014568","9535715","Obesity (body mass index (BMI))","5.90e-4","21935397","16"
"rs1014632","24099744","Obesity (body mass index (BMI))","8.43e-4","21935397","16"
"rs10146997","79945162","Obesity (body mass index (BMI))","3.20e-5","19557197","14"
"rs10148012","90406653","Obesity (body mass index (BMI))","8.40e-4","21935397","14"
"rs1014896","40037233","Obesity (body mass index (BMI))","6.58e-5","21935397","14"
"rs10149541","22873309","Obesity (body mass index (BMI))","3.28e-4","21935397","14"
"rs10150332","79936964","Extreme obesity with early age of onset","2.75e-211","23563609","14"
"rs10150332","79936964","Obesity (body mass index (BMI) > 30 kg/m2))","2.06e-6","20935630","14"
"rs10150964","91507280","Obesity (body mass index (BMI))","1.89e-4","21935397","14"
"rs10151037","56418119","Obesity-related traits","8.00e-6","23251661","14"
"rs10157480","177873333","Obesity with early age of onset (age >2)","9.11e-5","22484627","1"
"rs10157480","177873333","Obesity (body mass index (BMI))","1.92e-4","21935397","1"
"rs10159282","177918821","Obesity with early age of onset (age >2)","3.73e-5","22484627","1"
"rs10159325","211838131","Obesity (body mass index (BMI))","6.64e-4","21935397","1"
"rs10160281","130742788","Obesity (body mass index (BMI))","5.10e-4","21935397","11"
"rs10160399","4516576","Obesity-related traits","2.00e-6","23251661","11"
"rs1016215","36041753","Obesity with early age of onset (age >2)","6.94e-4","22484627","11"
"rs10164798","69565345","Obesity with early age of onset (age >2)","5.82e-5","22484627","2"
"rs10165535","236386804","Obesity with early age of onset (age >2)","8.23e-4","22484627","2"
"rs10168427","29744983","Obesity (body mass index (BMI))","3.75e-4","21935397","2"
"rs10169304","221465182","Obesity (body mass index (BMI))","6.80e-4","21935397","2"
"rs10169320","233871619","Obesity (body mass index (BMI))","4.54e-4","21935397","2"
"rs10169752","233872049","Obesity (body mass index (BMI))","4.83e-4","21935397","2"
"rs10169851","76956494","Obesity (body mass index (BMI))","9.27e-4","21935397","2"
"rs10170405","205501256","Obesity with early age of onset (age >2)","8.19e-4","22484627","2"
"rs10170606","575564","Obesity with early age of onset (age >2)","1.00e-3","22484627","2"
"rs10173167","646767","Obesity with early age of onset (age >2)","7.07e-12","22484627","2"
"rs10173167","646767","Obesity (body mass index (BMI))","7.74e-5","21935397","2"
"rs10174037","193821132","Obesity (body mass index (BMI))","9.73e-4","21935397","2"
"rs10174127","195867032","Obesity (body mass index (BMI))","1.86e-4","21935397","2"
"rs10175018","115423055","Obesity with early age of onset (age >2)","9.02e-4","22484627","2"
"rs10176391","574368","Obesity with early age of onset (age >2)","1.12e-4","22484627","2"
"rs10177124","66391841","Obesity (body mass index (BMI))","5.96e-4","21935397","2"
"rs10178420","25040423","Obesity with early age of onset (age >2)","5.83e-4","22484627","2"
"rs1017876","110915398","Obesity (body mass index (BMI))","8.65e-4","21935397","8"
"rs10179027","58652438","Obesity (body mass index (BMI))","7.76e-4","21935397","2"
"rs10179686","135214570","Obesity (body mass index (BMI))","9.43e-4","21935397","2"
"rs10179945","25229386","Obesity with early age of onset (age >2)","2.59e-4","22484627","2"
"rs10180596","49418070","Obesity with early age of onset (age >2)","8.66e-4","22484627","2"
"rs10182181","25150296","Obesity","1.00e-17","23563607","2"
"rs10182181","25150296","Obesity class","1.11e-17","23563607","2"
"rs10182181","25150296","Obesity","3.00e-14","23563607","2"
"rs10182181","25150296","Obesity with early age of onset (age >2)","1.46e-10","22484627","2"
"rs10182361","157432674","Obesity with early age of onset (age >2)","4.68e-4","22484627","2"
"rs10183655","54210781","Obesity with early age of onset (age >2)","6.85e-4","22484627","2"
"rs10184862","153005844","Obesity (body mass index (BMI))","6.55e-4","21935397","2"
"rs10185142","238822331","Obesity-related traits","8.00e-6","23251661","2"
"rs1018573","10928268","Obesity (body mass index (BMI))","8.56e-4","21935397","10"
"rs10188118","653623","Obesity with early age of onset (age >2)","4.16e-5","22484627","2"
"rs10188334","653874","Obesity with early age of onset (age >2)","4.47e-10","22484627","2"
"rs10188334","653874","Obesity (body mass index (BMI))","1.27e-4","21935397","2"
"rs10188516","25368005","Obesity with early age of onset (age >2)","1.37e-4","22484627","2"
"rs10189050","23124558","Obesity-related traits","4.00e-6","23251661","2"
"rs10189761","646364","Obesity","6.00e-24","23563607","2"
"rs10189761","646364","Obesity class","6.12e-24","23563607","2"
"rs10189761","646364","Obesity with early age of onset (age >2)","1.65e-11","22484627","2"
"rs10189761","646364","Obesity (body mass index (BMI))","1.27e-4","21935397","2"
"rs10190052","646674","Obesity with early age of onset (age >2)","7.07e-12","22484627","2"
"rs10190052","646674","Obesity (body mass index (BMI))","7.80e-5","21935397","2"
"rs10190420","233906006","Obesity with early age of onset (age >2)","8.65e-4","22484627","2"
"rs10191400","54515149","Obesity with early age of onset (age >2)","7.81e-4","22484627","2"
"rs1019196","123887029","Obesity (body mass index (BMI))","9.55e-4","21935397","7"
"rs1019264","60012802","Obesity (body mass index (BMI))","3.23e-4","21935397","2"
"rs10193244","647580","Obesity with early age of onset (age >2)","6.66e-12","22484627","2"
"rs10193244","647580","Obesity (body mass index (BMI))","7.65e-5","21935397","2"
"rs10197398","25227138","Obesity with early age of onset (age >2)","2.30e-4","22484627","2"
"rs1019763","122672588","Obesity with early age of onset (age >2)","9.32e-5","22484627","5"
"rs1019798","9534199","Obesity (body mass index (BMI))","5.99e-4","21935397","16"
"rs10198265","66380826","Obesity (body mass index (BMI))","5.93e-4","21935397","2"
"rs10198275","25130542","Obesity with early age of onset (age >2)","5.60e-10","22484627","2"
"rs10198552","135599876","Obesity-related traits","7.00e-7","23251661","2"
"rs1019916","146648359","Obesity with early age of onset (age >2)","6.30e-4","22484627","5"
"rs10199945","54509075","Obesity with early age of onset (age >2)","6.56e-4","22484627","2"
"rs10200566","25130462","Obesity with early age of onset (age >2)","6.79e-10","22484627","2"
"rs10200655","152974960","Obesity (body mass index (BMI))","7.28e-4","21935397","2"
"rs10200852","66391832","Obesity (body mass index (BMI))","5.98e-4","21935397","2"
"rs10202360","25420865","Obesity with early age of onset (age >2)","6.10e-7","22484627","2"
"rs10202934","25359254","Obesity with early age of onset (age >2)","8.61e-5","22484627","2"
"rs10203386","25136866","Obesity with early age of onset (age >2)","9.04e-10","22484627","2"
"rs10203662","193799679","Obesity (body mass index (BMI))","8.77e-4","21935397","2"
"rs10203922","237781722","Obesity with early age of onset (age >2)","4.96e-4","22484627","2"
"rs1020410","176784138","Obesity-related traits","6.00e-7","23251661","2"
"rs10204100","193809193","Obesity (body mass index (BMI))","9.15e-4","21935397","2"
"rs1020621","9469863","Obesity (body mass index (BMI))","5.30e-4","21935397","11"
"rs10207060","240687289","Obesity-related traits","6.00e-6","23251661","2"
"rs10207537","54328837","Obesity with early age of onset (age >2)","5.68e-4","22484627","2"
"rs10207622","221478235","Obesity (body mass index (BMI))","6.68e-4","21935397","2"
"rs10208407","161757129","Obesity-related traits","2.00e-6","23251661","2"
"rs10209543","557205","Obesity with early age of onset (age >2)","2.32e-5","22484627","2"
"rs10209658","557322","Obesity with early age of onset (age >2)","2.56e-5","22484627","2"
"rs10211565","142889154","Obesity with early age of onset (age >2)","6.50e-4","22484627","2"
"rs10213366","181997755","Obesity (body mass index (BMI))","2.53e-4","21935397","4"
"rs10218727","75012637","Obesity with early age of onset (age >2)","5.51e-7","22484627","1"
"rs1021903","155803008","Obesity with early age of onset (age >2)","6.80e-4","22484627","5"
"rs1022010","130905017","Obesity with early age of onset (age >2)","4.55e-4","22484627","4"
"rs1022012","130896644","Obesity with early age of onset (age >2)","5.35e-4","22484627","4"
"rs10224330","155277339","Obesity (body mass index (BMI))","5.37e-4","21935397","7"
"rs10224972","78659447","Obesity (body mass index (BMI))","3.99e-4","21935397","7"
"rs10226503","95188015","Obesity (body mass index (BMI))","7.43e-4","21935397","7"
"rs10226504","156600414","Obesity (body mass index (BMI))","2.59e-4","21935397","7"
"rs10228963","78329433","Obesity with early age of onset (age >2)","5.84e-4","22484627","7"
"rs1023008","70404540","Obesity-related traits","6.00e-6","23251661","1"
"rs10231279","78676614","Obesity (body mass index (BMI))","3.23e-4","21935397","7"
"rs10231774","45922477","Obesity (body mass index (BMI))","8.93e-4","21935397","7"
"rs10232743","43910882","Obesity-related traits","7.00e-6","23251661","7"
"rs1023421","160094644","Obesity with early age of onset (age >2)","6.88e-4","22484627","1"
"rs10235980","156582910","Obesity (body mass index (BMI))","1.88e-4","21935397","7"
"rs10241403","6717892","Obesity with early age of onset (age >2)","4.84e-4","22484627","7"
"rs10243302","156576682","Obesity (body mass index (BMI))","1.86e-4","21935397","7"
"rs10244145","156601463","Obesity (body mass index (BMI))","1.92e-4","21935397","7"
"rs10245124","8642354","Obesity-related traits","8.00e-6","23251661","7"
"rs10247699","93104301","Obesity with early age of onset (age >2)","4.50e-4","22484627","7"
"rs1024784","9554345","Obesity (body mass index (BMI))","3.87e-5","21935397","16"
"rs1024997","164680288","Obesity (body mass index (BMI))","8.90e-4","21935397","5"
"rs10250228","93101080","Obesity with early age of onset (age >2)","3.74e-4","22484627","7"
"rs10250838","156578131","Obesity (body mass index (BMI))","1.86e-4","21935397","7"
"rs10251592","155928944","Obesity with early age of onset (age >2)","3.94e-4","22484627","7"
"rs10253387","156626404","Obesity (body mass index (BMI))","2.45e-4","21935397","7"
"rs10253460","127002341","Obesity (body mass index (BMI))","8.86e-4","21935397","7"
"rs10259177","33001601","Obesity with early age of onset (age >2)","4.12e-4","22484627","7"
"rs10259199","7848912","Obesity-related traits","2.00e-6","23251661","7"
"rs10259881","78612075","Obesity (body mass index (BMI))","5.58e-4","21935397","7"
"rs1026567","72708584","Obesity with early age of onset (age >2)","9.46e-4","22484627","1"
"rs10265935","156616952","Obesity (body mass index (BMI))","2.53e-4","21935397","7"
"rs1026750","95242122","Obesity (body mass index (BMI))","8.51e-4","21935397","15"
"rs10268627","35928570","Obesity with early age of onset (age >2)","1.91e-4","22484627","7"
"rs10269689","78615420","Obesity (body mass index (BMI))","5.72e-4","21935397","7"
"rs1026997","72516287","Obesity with early age of onset (age >2)","7.76e-4","22484627","1"
"rs10271846","38644504","Extreme obesity with early age of onset","4.45e-7","23563609","7"
"rs10271846","38644504","Obesity (early onset extreme)","7.42e-5","23563609","7"
"rs10272085","78328892","Obesity with early age of onset (age >2)","5.44e-4","22484627","7"
"rs10274585","153967819","Obesity (body mass index (BMI))","7.62e-4","21935397","7"
"rs10275055","156712603","Obesity (body mass index (BMI))","5.12e-4","21935397","7"
"rs10276351","47784994","Obesity with early age of onset (age >2)","3.66e-4","22484627","7"
"rs10281863","95187578","Obesity (body mass index (BMI))","7.43e-4","21935397","7"
"rs1030811","92951148","Obesity with early age of onset (age >2)","8.66e-4","22484627","12"
"rs1030907","23615027","Obesity (body mass index (BMI))","2.59e-5","21935397","2"
"rs1031477","50218644","Obesity with early age of onset (age >2)","8.96e-6","22484627","12"
"rs1031477","50218644","Obesity (body mass index (BMI))","3.61e-5","21935397","12"
"rs1032828","194916701","Obesity (body mass index (BMI))","9.02e-4","21935397","1"
"rs1033638","11086717","Obesity with early age of onset (age >2)","5.54e-4","22484627","1"
"rs1034528","11249132","Obesity with early age of onset (age >2)","7.58e-5","22484627","1"
"rs1035522","58510932","Obesity (body mass index (BMI))","9.03e-4","21935397","19"
"rs1036066","68660205","Obesity (body mass index (BMI))","4.53e-4","21935397","1"
"rs1036728","34445890","Obesity with early age of onset (age >2)","5.56e-4","22484627","10"
"rs1036729","34445905","Obesity with early age of onset (age >2)","7.49e-5","22484627","10"
"rs1036730","34452352","Obesity with early age of onset (age >2)","1.29e-4","22484627","10"
"rs1036731","34467741","Obesity with early age of onset (age >2)","1.52e-4","22484627","10"
"rs1037589","80067067","Obesity (body mass index (BMI))","7.76e-4","21935397","4"
"rs1038660","27549392","Obesity with early age of onset (age >2)","5.00e-4","22484627","11"
"rs1039385","169673677","Obesity (body mass index (BMI))","1.87e-4","21935397","4"
"rs1039808","126239986","Obesity with early age of onset (age >2)","1.59e-4","22484627","4"
"rs10400435","49726118","Obesity with early age of onset (age >2)","6.68e-4","22484627","12"
"rs1040070","74977870","Obesity with early age of onset","1.07e-8","22484627","1"
"rs1040070","74977870","Obesity with early age of onset (age >2)","2.78e-8","22484627","1"
"rs1040070","74977870","Obesity (body mass index (BMI))","9.94e-4","21935397","1"
"rs1040479","7617221","Obesity (body mass index (BMI))","8.23e-4","21935397","20"
"rs10406069","35836530","Obesity (body mass index (BMI))","5.01e-4","21935397","19"
"rs10406668","30848139","Obesity (body mass index (BMI))","1.55e-4","21935397","19"
"rs10408126","13245968","Obesity-related traits","4.00e-6","23251661","19"
"rs10408147","56999247","Obesity with early age of onset (age >2)","9.20e-4","22484627","19"
"rs10409289","20806824","Obesity with early age of onset (age >2)","8.69e-4","22484627","19"
"rs10409783","4555786","Obesity with early age of onset (age >2)","5.97e-4","22484627","19"
"rs10411019","58516230","Obesity (body mass index (BMI))","8.36e-4","21935397","19"
"rs10415951","58419874","Obesity (body mass index (BMI))","1.70e-4","21935397","19"
"rs10416963","17762890","Obesity-related traits","8.00e-6","23251661","19"
"rs10417077","29400017","Obesity (body mass index (BMI))","6.86e-4","21935397","19"
"rs10417120","29400069","Obesity (body mass index (BMI))","6.86e-4","21935397","19"
"rs10419624","29400146","Obesity (body mass index (BMI))","6.86e-4","21935397","19"
"rs10421461","37015887","Obesity with early age of onset (age >2)","8.41e-4","22484627","19"
"rs10421563","56071293","Obesity with early age of onset (age >2)","4.81e-4","22484627","19"
"rs10421862","36965076","Obesity with early age of onset (age >2)","6.87e-4","22484627","19"
"rs10422881","4557056","Obesity with early age of onset (age >2)","3.90e-4","22484627","19"
"rs10423928","46182304","Obesity class","3.58e-13","23563607","19"
"rs10423928","46182304","Obesity","4.00e-13","23563607","19"
"rs1042448","33054342","Obesity (body mass index (BMI))","5.63e-4","21935397","6"
"rs10425144","29472817","Obesity (body mass index (BMI))","9.33e-4","21935397","19"
"rs1042544","33054457","Obesity (body mass index (BMI))","5.63e-4","21935397","6"
"rs10425935","29908107","Obesity-related traits","3.00e-6","23251661","19"
"rs1042704","23312594","Obesity with early age of onset (age >2)","5.42e-4","22484627","14"
"rs10429519","132281720","Obesity with early age of onset (age >2)","7.20e-5","22484627","9"
"rs10430700","122049925","Obesity (body mass index (BMI))","1.21e-4","21935397","10"
"rs10430943","29275784","Obesity with early age of onset (age >2)","5.16e-4","22484627","11"
"rs10431948","90099571","Obesity with early age of onset (age >2)","7.23e-4","22484627","16"
"rs10432684","25182193","Obesity with early age of onset (age >2)","9.26e-5","22484627","2"
"rs1043274","110042444","Obesity-related traits","9.00e-6","23251661","1"
"rs10433903","118093137","Extreme obesity (body mass index (BMI))","2.98e-6","19553259","4"
"rs10433903","118093137","Obesity (extreme)","3.00e-6","19553259","4"
"rs10435414","132495299","Obesity (body mass index (BMI))","7.06e-4","21935397","7"
"rs10440833","20688121","Type 2 diabetes without obesity","2.09e-13","20581827","6"
"rs10440833","20688121","Type 2 diabetes with obesity","8.12e-5","20581827","6"
"rs10443196","99453287","Obesity-related traits","9.00e-6","23251661","1"
"rs1044498","132172368","Childhood obesity (body mass index (BMI))","1.00e-3","19151714","6"
"rs10445672","146105254","Obesity-related traits","8.00e-6","23251661","2"
"rs10445976","95676438","Obesity (body mass index (BMI))","4.22e-4","21935397","2"
"rs1044826","139073011","Obesity-related traits","8.00e-6","23251661","3"
"rs1044826","139073011","Obesity-related traits","9.00e-6","23251661","3"
"rs10456499","41083352","Type 2 diabetes with obesity","1.80e-5","17460697","6"
"rs10460186","30952557","Obesity (body mass index (BMI))","2.11e-5","21935397","19"
"rs10463375","144877201","Obesity with early age of onset (age >2)","4.04e-4","22484627","5"
"rs10463376","144879869","Obesity with early age of onset (age >2)","9.35e-4","22484627","5"
"rs10465746","84387632","Obesity-related traits","8.00e-6","23251661","1"
"rs10466823","31960715","Obesity with early age of onset (age >2)","2.94e-4","22484627","12"
"rs10467147","40767362","Obesity-related traits","5.00e-6","23251661","12"
"rs10468114","96118957","Obesity (body mass index (BMI))","9.01e-4","21935397","15"
"rs10468615","10435868","Obesity (body mass index (BMI))","8.85e-4","21935397","18"
"rs10470854","38768533","Obesity with early age of onset (age >2)","5.28e-4","22484627","4"
"rs10472127","28375022","Obesity (body mass index (BMI))","9.33e-4","21935397","5"
"rs1047438","122682348","Obesity with early age of onset (age >2)","1.22e-4","22484627","5"
"rs10475138","2239725","Obesity (body mass index (BMI))","7.42e-4","21935397","5"
"rs10476496","164551653","Obesity (body mass index (BMI))","7.10e-4","21935397","5"
"rs10477644","122704020","Obesity with early age of onset (age >2)","5.46e-5","22484627","5"
"rs10478109","99068661","Obesity with early age of onset (age >2)","2.50e-4","22484627","5"
"rs10479647","156638106","Obesity (body mass index (BMI))","1.17e-4","21935397","7"
"rs10479648","156638317","Obesity (body mass index (BMI))","1.58e-4","21935397","7"
"rs10482950","25846325","Obesity (body mass index (BMI))","8.78e-4","21935397","21"
"rs10483536","40026898","Obesity (body mass index (BMI))","1.69e-4","21935397","14"
"rs10483614","53151428","Obesity with early age of onset (age >2)","5.85e-4","22484627","14"
"rs10483615","53153127","Obesity with early age of onset (age >2)","5.05e-4","22484627","14"
"rs10483957","82830219","Type 2 diabetes with obesity","4.20e-5","17460697","14"
"rs10483999","87948873","Obesity (body mass index (BMI))","8.81e-4","21935397","14"
"rs1048466","551550","Extreme obesity with early age of onset","3.46e-8","23563609","12"
"rs1048466","551550","Obesity (early onset extreme)","8.00e-8","23563609","12"
"rs10485183","116720487","Obesity with early age of onset (age >2)","7.75e-4","22484627","6"
"rs10485299","101313501","Obesity (body mass index (BMI))","2.21e-4","21935397","6"
"rs1048575","77558057","Obesity (body mass index (BMI))","9.89e-4","21935397","1"
"rs10486201","7938596","Obesity-related traits","6.00e-6","23251661","7"
"rs10487230","93314127","Obesity with early age of onset (age >2)","8.93e-4","22484627","7"
"rs10487245","93713521","Obesity-related traits","2.00e-6","23251661","7"
