LSLNC000077	NONHSAG000275	NONHSAT000724	1	rs10462020	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs4240966	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs6680107	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs9432453	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs2031226	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs2391254	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs6703310	Type 2 diabetes
LSLNC000511	NONHSAG002086	NONHSAT004494	1	rs942196	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs2296558	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs6541401	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs6541404	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs9432681	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs1000607	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs4000699	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs4240966	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs6680107	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs9432453	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs2031226	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs2391254	Type 2 diabetes
LSLNC000512	NONHSAG002086	NONHSAT004495	1	rs6703310	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs2296558	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs6541401	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs6541404	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs9432681	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs1000607	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs4000699	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs4240966	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs6680107	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs9432453	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs2031226	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs2391254	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs6703310	Type 2 diabetes
LSLNC000513	NONHSAG002086	NONHSAT004496	1	rs942196	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs2296558	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs6541401	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs6541404	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs9432681	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs1000607	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs4000699	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs4240966	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs6680107	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs9432453	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs2031226	Type 2 diabetes
LSLNC000514	NONHSAG002086	NONHSAT004497	1	rs6703310	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs2296558	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs6541401	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs6541404	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs9432681	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs1000607	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs4000699	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs4240966	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs6680107	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs9432453	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs2031226	Type 2 diabetes
LSLNC000515	NONHSAG002086	NONHSAT004498	1	rs6703310	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs2296558	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs6541401	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs6541404	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs9432681	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs1000607	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs4000699	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs4240966	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs6680107	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs9432453	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs2031226	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs2391254	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs6703310	Type 2 diabetes
LSLNC000516	NONHSAG002086	NONHSAT004499	1	rs942196	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs2296558	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs6541401	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs6541404	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs9432681	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs1000607	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs4000699	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs4240966	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs6680107	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs9432453	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs2031226	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs2391254	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs6703310	Type 2 diabetes
LSLNC000517	NONHSAG002086	NONHSAT004500	1	rs942196	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs2296558	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs6541401	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs6541404	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs9432681	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs1000607	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs4240966	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs6680107	Type 2 diabetes
LSLNC000518	NONHSAG002086	NONHSAT004501	1	rs9432453	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs2296558	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs6541401	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs6541404	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs9432681	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs1000607	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs4000699	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs4240966	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs6680107	Type 2 diabetes
LSLNC000519	NONHSAG002086	NONHSAT004502	1	rs9432453	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs2296558	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs6541401	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs6541404	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs9432681	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs1000607	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs4000699	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs4240966	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs6680107	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs9432453	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs2031226	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs2391254	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs6703310	Type 2 diabetes
LSLNC000520	NONHSAG002086	NONHSAT004503	1	rs942196	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs2296558	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs6541401	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs6541404	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs9432681	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs1000607	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs4000699	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs4240966	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs6680107	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs9432453	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs2031226	Type 2 diabetes
LSLNC000521	NONHSAG002086	NONHSAT004504	1	rs6703310	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs2296558	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs6541401	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs6541404	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs9432681	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs1000607	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs4000699	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs4240966	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs6680107	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs9432453	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs2031226	Type 2 diabetes
LSLNC000522	NONHSAG002086	NONHSAT004505	1	rs6703310	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs2296558	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs6541401	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs6541404	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs9432681	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs1000607	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs4000699	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs4240966	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs6680107	Type 2 diabetes
LSLNC000523	NONHSAG002086	NONHSAT004506	1	rs9432453	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs2296558	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs6541401	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs6541404	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs9432681	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs1000607	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs4000699	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs4240966	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs6680107	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs9432453	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs2031226	Type 2 diabetes
LSLNC000524	NONHSAG002086	NONHSAT004507	1	rs6703310	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs1000607	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs4000699	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs4240966	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs9432453	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs2031226	Type 2 diabetes
LSLNC000525	NONHSAG002086	NONHSAT004510	1	rs6703310	Type 2 diabetes
LSLNC000526	NONHSAG002086	NONHSAT004519	1	rs2391254	Type 2 diabetes
LSLNC000526	NONHSAG002086	NONHSAT004519	1	rs942196	Type 2 diabetes
LSLNC000527	NONHSAG002086	NONHSAT004520	1	rs2391254	Type 2 diabetes
LSLNC000527	NONHSAG002086	NONHSAT004520	1	rs942196	Type 2 diabetes
LSLNC000747	NONHSAG002953	NONHSAT006486	1	rs2146114	Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC000812	NONHSAG003335	NONHSAT007309	1	rs184043	Type 2 diabetes
LSLNC000812	NONHSAG003335	NONHSAT007309	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000812	NONHSAG003335	NONHSAT007309	1	rs2254782	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000813	NONHSAG003335	NONHSAT007311	1	rs184043	Type 2 diabetes
LSLNC000813	NONHSAG003335	NONHSAT007311	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000813	NONHSAG003335	NONHSAT007311	1	rs2254782	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000814	NONHSAG003335	NONHSAT007312	1	rs184043	Type 2 diabetes
LSLNC000815	NONHSAG003335	NONHSAT007313	1	rs184043	Type 2 diabetes
LSLNC000815	NONHSAG003335	NONHSAT007313	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000815	NONHSAG003335	NONHSAT007313	1	rs2254782	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000816	NONHSAG003335	NONHSAT007316	1	rs184043	Type 2 diabetes
LSLNC000817	NONHSAG003335	NONHSAT007318	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000818	NONHSAG003335	NONHSAT007319	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000818	NONHSAG003335	NONHSAT007319	1	rs2254782	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC000840	NONHSAG003476	NONHSAT007619	1	rs10912477	Weight in Type 2 diabetes
LSLNC000840	NONHSAG003476	NONHSAT007619	1	rs10912477	Type 2 diabetes
LSLNC000840	NONHSAG003476	NONHSAT007619	1	rs16845215	Type 2 diabetes, combined control dataset
LSLNC000929	NONHSAG003903	NONHSAT008702	1	rs6656619	Type 2 diabetes
LSLNC000929	NONHSAG003903	NONHSAT008702	1	rs6700559	Type 2 diabetes
LSLNC000992	NONHSAG004216	NONHSAT009331	1	rs7534335	Type 2 diabetes
LSLNC000993	NONHSAG004216	NONHSAT009334	1	rs7534335	Type 2 diabetes
LSLNC001014	NONHSAG004359	NONHSAT009623	1	rs1389750	Type 2 diabetes
LSLNC001050	NONHSAG004616	NONHSAT010169	1	rs16854120	Type 2 diabetes, combined control dataset
LSLNC001085	NONHSAG004841	NONHSAT010619	1	rs1121276	Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001106	NONHSAG004926	NONHSAT010784	1	rs1144812	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001107	NONHSAG004926	NONHSAT010785	1	rs1144812	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001133	NONHSAG003930	NONHSAT008755	1	rs7552162	Type 2 diabetes
LSLNC001134	NONHSAG003930	NONHSAT008757	1	rs7552162	Type 2 diabetes
LSLNC001140	NONHSAG003335	NONHSAT007314	1	rs184043	Type 2 diabetes
LSLNC001140	NONHSAG003335	NONHSAT007314	1	rs285477	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC001140	NONHSAG003335	NONHSAT007314	1	rs2254782	Type 2 diabetes, combined control dataset, gender differentiated
LSLNC001149	NONHSAG002731	NONHSAT139896	1	rs6678706	Type 2 diabetes
LSLNC001175	NONHSAG027247	NONHSAT069626	2	rs12466350	Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001177	NONHSAG027247	NONHSAT069628	2	rs12466350	Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease
LSLNC001206	NONHSAG027488	NONHSAT070127	2	rs4140806	Type 2 diabetes
LSLNC001207	NONHSAG027488	NONHSAT070131	2	rs4140806	Type 2 diabetes
LSLNC001216	NONHSAG027504	NONHSAT070165	2	rs13385748	Type 2 diabetes
LSLNC001226	NONHSAG027549	NONHSAT070265	2	rs379410	Type 2 diabetes
LSLNC001226	NONHSAG027549	NONHSAT070265	2	rs430314	Type 2 diabetes
LSLNC001227	NONHSAG027549	NONHSAT070266	2	rs379410	Type 2 diabetes
LSLNC001227	NONHSAG027549	NONHSAT070266	2	rs430314	Type 2 diabetes
LSLNC001228	NONHSAG027549	NONHSAT070267	2	rs379410	Type 2 diabetes
LSLNC001228	NONHSAG027549	NONHSAT070267	2	rs430314	Type 2 diabetes
LSLNC001229	NONHSAG027549	NONHSAT070273	2	rs379410	Type 2 diabetes
LSLNC001229	NONHSAG027549	NONHSAT070273	2	rs430314	Type 2 diabetes
LSLNC001230	NONHSAG027549	NONHSAT070274	2	rs379410	Type 2 diabetes
LSLNC001230	NONHSAG027549	NONHSAT070274	2	rs430314	Type 2 diabetes
LSLNC001300	NONHSAG028274	NONHSAT071823	2	rs1470504	Type 2 diabetes
LSLNC001367	NONHSAG029132	NONHSAT074048	2	rs287793	Diabetic retinopathy in Type 2 diabetes mellitus
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs6734346	Type 2 diabetes, combined control dataset
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs848244	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs10175623	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs4667395	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs1405213	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs1405214	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs7420486	Type 2 diabetes
LSLNC001413	NONHSAG029514	NONHSAT074904	2	rs11889862	Type 2 diabetes
LSLNC001414	NONHSAG029514	NONHSAT074914	2	rs11889862	Type 2 diabetes
LSLNC001437	NONHSAG029729	NONHSAT075279	2	rs4667510	Type 2 diabetes
LSLNC001437	NONHSAG029729	NONHSAT075279	2	rs9917323	Type 2 diabetes
LSLNC001439	NONHSAG029873	NONHSAT075571	2	rs13008567	Type 2 diabetes
LSLNC001443	NONHSAG029940	NONHSAT075724	2	rs4893966	Weight in Type 2 diabetes
LSLNC001443	NONHSAG029940	NONHSAT075724	2	rs4893966	Type 2 diabetes
LSLNC001575	NONHSAG030407	NONHSAT076678	2	rs3770699	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001575	NONHSAG030407	NONHSAT076678	2	rs3821136	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001575	NONHSAG030407	NONHSAT076678	2	rs6435569	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001576	NONHSAG030407	NONHSAT076679	2	rs3770699	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001576	NONHSAG030407	NONHSAT076679	2	rs3821136	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001576	NONHSAG030407	NONHSAT076679	2	rs6435569	Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis
LSLNC001584	NONHSAG030485	NONHSAT076827	2	rs2712170	Type 2 diabetes
