SNPID,Position,Disease/Trait name,P value,PMID,Chr
rs10021072,97808942,"Type 2 diabetes, combined control dataset",0.000223,17554300,4
rs10021192,114063451,Type 2 diabetes,0.000205,17463246,4
rs1002353,218395145,Diabetic retinopathy in Type 2 diabetes mellitus,0.000504,23562823,2
rs10023799,65458162,Type 2 diabetes,7.38e-05,17463246,4
rs10023833,145521189,Diabetic retinopathy in Type 2 diabetes mellitus,0.000932,23562823,4
rs10023994,157629701,"Type 2 diabetes, combined control dataset",0.000275,17554300,4
rs10024134,46934799,Type 2 diabetes,0.000799,22158537,4
rs10024666,117690322,Type 2 diabetes,0.000625,17463246,4
rs1002548,8523982,Type 2 diabetes,0.000965,17463246,5
rs1002548,8523982,Waist hip ratio in Type 2 diabetes,0.000965,17463246,5
rs10026315,56478362,"Type 2 diabetes, combined control dataset",0.000671,17554300,4
rs10026758,24803564,Type 2 diabetes,0.000977,17463246,4
rs10026970,115940947,Diabetic retinopathy in Type 2 diabetes mellitus,0.0004980000000000001,23562823,4
rs10027689,101875918,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",0.000525,17554300,4
rs10029753,124389966,"Type 2 diabetes, combined control dataset, gender differentiated",0.00047000000000000004,17554300,4
rs10030755,62844408,Type 2 diabetes,0.000575,17463246,4
rs10031033,120151452,Type 2 diabetes,0.000285,17463246,4
rs10031033,120151452,Weight in Type 2 diabetes,0.000285,17463246,4
rs10031512,100457841,Waist circumference in Type 2 diabetes,0.00040899999999999997,17463246,4
rs10031512,100457841,Type 2 diabetes,0.00041,17463246,4
rs10031512,100457841,Weight in Type 2 diabetes,0.000519,17463246,4
rs10031972,153371764,Type 2 diabetes,0.00026000000000000003,22158537,4
rs10032125,95169266,Type 2 diabetes,0.000123,17463246,4
rs10032125,95169266,Type 2 diabetes,0.000123,17463246,4
rs10032147,147481344,"Type 2 diabetes, combined control dataset, gender differentiated",5.15e-05,17554300,4
rs1003252,115656320,Type 2 diabetes,0.0008470000000000001,17463246,7
rs1003268,43933042,Diabetic retinopathy in Type 2 diabetes mellitus,0.000312,23562823,2
rs10033117,140082553,Type 2 diabetes with obesity,2.4e-05,17460697,4
rs10033601,153252061,Type 2 diabetes,6.95e-05,22158537,4
rs10033601,153252061,Type 2 diabetes,0.000184,22158537,4
rs10033823,180844859,Type 2 diabetes,0.000717,17463246,4
rs10033909,106559350,Type 2 diabetes,0.00047000000000000004,17554300,4
rs10034439,42446162,Type 2 diabetes,3.1e-05,17463248,4
rs1003480,31346752,"Type 2 diabetes, combined control dataset",0.000135,17554300,22
rs10035359,167002401,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.00035,21150874,5
rs10035947,29855627,Type 2 diabetes,0.0005110000000000001,17463246,5
rs10036406,58552313,"Diabetic retinopathy in Type 2 diabetes mellitus, ETDRS grade>=14",9.1e-05,21873659,5
rs1003652,10468296,Diabetic retinopathy in Type 2 diabetes mellitus,0.00011100000000000001,23562823,2
rs1003671,30201119,Type 2 diabetes,0.000547,17463246,21
rs1003752,37911769,Type 2 diabetes,0.000936,17463246,X
rs1003802,106279551,Type 2 diabetes,0.000664,17463246,7
rs1003802,106279551,Weight in Type 2 diabetes,0.000664,17463246,7
rs10038062,35220519,Type 2 diabetes,0.0006360000000000001,17463246,5
rs10039159,108805905,Type 2 diabetes,0.000512,17463246,5
rs10039225,172084050,Type 2 diabetes,0.000926,17463246,5
rs10039225,172084050,Body mass index (BMI) in Type 2 diabetes,0.000926,17463246,5
rs1003972,241627836,Body mass index (BMI) in Type 2 diabetes,3.74e-05,17463246,2
rs1003972,241627836,Waist circumference in Type 2 diabetes,9.01e-05,17463246,2
rs1003972,241627836,Weight in Type 2 diabetes,0.000217,17463246,2
rs1003972,241627836,Waist hip ratio in Type 2 diabetes,0.0009130000000000001,17463246,2
rs10039804,173149670,Type 2 diabetes,0.000983,17463246,5
rs10040195,113146931,Type 2 diabetes,2.45e-05,22158537,5
rs10040195,113146931,Type 2 diabetes,0.000156,22158537,5
rs10040427,131714106,"Type 2 diabetes, combined control dataset",0.00011899999999999999,17554300,5
rs10043783,112786116,"Type 2 diabetes, combined control dataset",0.000177,17554300,5
rs10044028,77794750,Type 2 diabetes,0.0004940000000000001,17463246,5
rs10044052,150578950,"Type 2 diabetes, combined control dataset",6.979999999999999e-05,17554300,5
rs10044688,75850020,Type 2 diabetes,0.000434,17463246,5
rs10044718,170321959,"Type 2 diabetes, combined control dataset, gender differentiated",0.000541,17554300,5
rs1004483,38875017,Type 2 diabetes,0.000323,17463246,20
rs1004553,93988980,"Type 2 diabetes, combined control dataset",0.000397,17554300,14
rs10047079,154468135,Type 2 diabetes,3.2e-05,22456796,1
rs10047335,92342511,Waist hip ratio in Type 2 diabetes,0.000103,17463246,10
rs10047335,92342511,Type 2 diabetes,0.000103,17463246,10
rs10047388,70060213,Type 2 diabetes,0.000131,17463246,10
rs10047560,20605216,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,2.9100000000000003e-05,21150874,12
rs10047560,20605216,"Type 2 diabetes, end stage renal disease",0.000299,22238593,12
rs10047560,20605216,Type 2 diabetes,0.0008060000000000001,21150874,12
rs10048931,190938015,Diabetic retinopathy in Type 2 diabetes mellitus,0.000967,23562823,3
rs10049465,131978432,Type 2 diabetes,0.00086,22158537,3
rs10049466,66868609,Gestational diabetes mellitus,9.66e-05,22233651,3
rs10050695,169719672,Type 2 diabetes,0.00088,17463246,5
rs10051118,174996060,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,6.32e-05,21150874,5
rs10051407,109850641,Type 2 diabetes,0.000704,17554300,5
rs10052705,107093148,Type 2 diabetes,0.00020899999999999998,22961080,5
rs1005303,136626238,Type 2 diabetes,0.000346,17463246,X
rs1005316,68990369,Type 2 diabetes,1.4000000000000001e-05,17293876,17
rs1005322,14221383,Type 2 diabetes,0.00028900000000000003,17463246,17
rs10053423,60859416,Diabetes Mellitus,4.8700000000000005e-05,pha003060,5
rs10053502,39979172,Type 2 diabetes,0.000144,17463246,5
rs1005380,16219792,Type 2 diabetes,0.000713,17463246,17
rs1005380,16219792,Type 2 diabetes,0.000713,17463246,17
rs10054180,12095032,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000126,17554300,5
rs1005419,54308996,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000824,17554300,18
rs10055216,170408566,"Type 2 diabetes, combined control dataset, gender differentiated",0.00021600000000000002,17554300,5
rs10056306,98423627,Type 2 diabetes,7.47e-05,22456796,5
rs10056426,66203615,Type 2 diabetes,0.000496,17463246,5
rs10056426,66203615,Type 2 diabetes,0.000496,17463246,5
rs10056815,34493934,Type 2 diabetes,0.0007070000000000001,17463246,5
rs10058183,160559870,"Type 2 diabetes, combined control dataset",0.0006219999999999999,17554300,5
rs10058354,121598240,Type 2 diabetes,0.000496,22158537,5
rs10059013,62131648,Diabetic retinopathy in Type 2 diabetes mellitus,0.000525,23562823,5
rs10059321,52447354,Type 2 diabetes,0.000121,17463246,5
rs10059343,110065511,Weight in Type 2 diabetes,0.00044,17463246,5
rs10059343,110065511,Type 2 diabetes,0.00044,17463246,5
rs10059343,110065511,Body mass index (BMI) in Type 2 diabetes,0.000953,17463246,5
rs10060854,163185573,Type 2 diabetes,0.000248,17463246,5
rs10060854,163185573,Type 2 diabetes,0.000248,17463246,5
rs10060919,132763717,Waist hip ratio in Type 2 diabetes,0.000266,17463246,5
rs10060919,132763717,Type 2 diabetes,0.000266,17463246,5
rs10061689,74771387,Type 2 diabetes,0.00033999999999999997,17463246,5
rs10062666,170364929,"Type 2 diabetes, combined control dataset, gender differentiated",0.00011999999999999999,17554300,5
rs1006273,101965339,"Diabetic retinopathy in Type 2 diabetes mellitus, ETDRS grade>=14",5e-05,21873659,15
rs1006310,161811555,Type 2 diabetes,6.32e-05,22158537,1
rs1006310,161811555,Type 2 diabetes,0.000586,22158537,1
rs10063110,21391540,Type 2 diabetes,0.000773,17463246,5
rs10063582,84166462,Height in Type 2 diabetes cases,0.000309,17463246,5
rs10063582,84166462,Type 2 diabetes,0.000309,17463246,5
rs10064839,125412411,"Type 2 diabetes, combined control dataset",0.000162,17554300,5
rs10064843,25948451,Type 2 diabetes,0.000317,17463246,5
rs1006517,37912275,Type 2 diabetes,0.000852,17463246,X
rs10065698,12080963,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000239,17554300,5
rs10065947,28671818,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.000102,21150874,5
rs10066573,58356126,Type 2 diabetes,0.000395,17463246,5
rs10066573,58356126,Waist hip ratio in Type 2 diabetes,0.000395,17463246,5
rs10066782,158432118,Type 2 diabetes,0.0007650000000000001,17554300,5
rs10067334,147548021,Type 2 diabetes,0.000682,17463246,5
rs1006755,61631046,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.00058,17554300,18
rs1006760,8501041,"Type 2 diabetes, gender differentiated",0.000704,17554300,16
rs10068052,31471676,Diabetic retinopathy in Type 2 diabetes mellitus,0.0008960000000000001,23562823,5
rs10068619,169717739,Type 2 diabetes,0.000109,17463246,5
rs10068756,128158288,Type 2 diabetes,0.0005070000000000001,17463246,5
rs10068854,2134888,"Type 2 diabetes, combined control dataset, gender differentiated",0.000482,17554300,5
rs1006956,62367976,Waist circumference in Type 2 diabetes,0.000541,17463246,10
rs1006956,62367976,Type 2 diabetes,0.000541,17463246,10
rs10070545,125441453,Type 2 diabetes,0.000261,22158537,5
rs10070545,125441453,Type 2 diabetes,0.00032,22158537,5
rs1007061,109882332,Type 2 diabetes,0.00032900000000000003,17463246,9
rs10071051,131752620,Type 2 diabetes,0.00035800000000000003,19734900,5
rs10071239,65164991,"Type 2 diabetes, combined control dataset, gender differentiated",0.000433,17554300,5
rs10071625,164857290,Type 2 diabetes,0.000741,17463246,5
rs10071833,113132750,Type 2 diabetes,1.6800000000000002e-05,22158537,5
rs10071833,113132750,Type 2 diabetes,0.000221,22158537,5
rs10071956,173160684,Gestational diabetes mellitus,5.920000000000001e-05,22233651,5
rs10072749,42883971,"Type 2 diabetes, combined control dataset",0.00047699999999999994,17554300,5
rs1007383,84017138,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",6.7e-05,17554300,14
rs1007383,84017138,Type 2 diabetes,7.59e-05,17554300,14
rs1007405,140386165,Type 2 diabetes,0.000278,17463246,X
rs10074614,170637472,"Type 2 diabetes, combined control dataset, gender differentiated",0.000308,17554300,5
rs10075045,143254308,Type 2 diabetes,0.00018999999999999998,17554300,5
rs1007545,8303705,Type 2 diabetes,0.000525,17463246,19
rs10076521,156801292,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.00024300000000000002,21150874,5
rs10078065,151672044,Type 2 diabetes,0.0005,17463246,5
rs1007840,69156100,Type 2 diabetes,0.000368,17463246,14
rs10079816,110291023,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.00037,17554300,5
rs10080471,85079851,Type 2 diabetes,0.000212,17463246,6
rs10080471,85079851,Type 2 diabetes,0.000212,17463246,6
rs10081175,146660924,Type 2 diabetes,0.000169,23300278,7
rs10081282,57564932,"Type 2 diabetes, combined control dataset, gender differentiated",0.000986,17554300,7
rs10082503,53048204,Type 2 diabetes,0.000145,17463246,10
rs10082503,53048204,Type 2 diabetes,0.000145,17463246,10
rs10082842,24300902,Type 2 diabetes,6.7e-05,21874001,12
rs10083792,80233141,Weight in Type 2 diabetes,0.0009130000000000001,17463246,16
rs10083792,80233141,Type 2 diabetes,0.0009130000000000001,17463246,16
rs10084984,95254575,Type 2 diabetes,0.000146,17463246,4
rs10084984,95254575,Type 2 diabetes,0.000146,17463246,4
rs10085202,164515936,Type 2 diabetes,3.7e-05,17460697,6
rs10085898,38870444,Type 2 diabetes,0.00035099999999999997,17463246,7
rs10086149,115118818,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",5.5100000000000004e-05,17554300,8
rs1008661,109135496,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",5.65e-05,17554300,5
rs10086700,88541187,Type 2 diabetes,1.59e-05,22158537,8
rs1008717,25859062,Type 2 diabetes,0.000349,17463246,15
rs10087217,131042009,"Type 2 diabetes, combined control dataset, gender differentiated",0.00055,17554300,8
rs10087353,88541079,Type 2 diabetes,1.9600000000000002e-05,22158537,8
rs10087412,101580604,Weight in Type 2 diabetes,0.000133,17463246,8
rs10087980,29305755,Type 2 diabetes,0.00040199999999999996,17463246,8
rs10088218,129543949,Type 2 diabetes,0.000762,17463246,8
rs10088218,129543949,Type 2 diabetes,0.000762,17463246,8
rs10088282,115249567,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000138,17554300,8
rs10088728,29371374,Type 2 diabetes,0.00045599999999999997,17463246,8
rs10088994,60185632,Type 2 diabetes,0.000763,17463246,8
rs10089040,115119136,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",6.18e-05,17554300,8
rs10089185,11285609,Type 2 diabetes,0.0008640000000000001,17463246,8
rs10089185,11285609,Type 2 diabetes,0.0008640000000000001,17463246,8
rs10089304,21300015,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",4.8599999999999995e-05,17554300,8
rs10089519,129532118,Waist circumference in Type 2 diabetes,0.000204,17463246,8
rs10089519,129532118,Type 2 diabetes,0.000204,17463246,8
rs1008981,10546814,"Type 2 diabetes, combined control dataset",0.000998,17554300,9
rs10090444,10745469,"Type 2 diabetes, gender differentiated",0.000492,17554300,8
rs1009091,150906198,Type 2 diabetes,0.000698,17463246,5
rs10091359,134811944,Type 2 diabetes,0.000508,17463246,8
rs1009188,197257090,Type 2 diabetes,0.000711,17463246,1
rs1009193,66442251,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.00023700000000000001,21150874,13
rs10093842,70082788,Type 2 diabetes,4.6399999999999996e-05,17463246,8
rs10094497,10602829,"Type 2 diabetes, gender differentiated",0.000151,17554300,8
rs10095165,125816438,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",0.000183,17554300,8
rs10095188,123833865,Type 2 diabetes,0.000877,17463246,8
rs1009521,97386798,Type 2 diabetes,0.000909,17463246,3
rs10095515,5668075,Type 2 diabetes,0.000653,17463246,8
rs10095813,78039062,Type 2 diabetes,0.000449,17463246,8
rs10095813,78039062,Body mass index (BMI) in Type 2 diabetes,0.000449,17463246,8
rs10097028,115892114,Type 2 diabetes,0.000801,17463246,8
rs10097567,31954084,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,3.17e-05,21150874,8
rs10097683,52537205,Type 2 diabetes,0.0005809999999999999,17463246,8
rs1009923,38643970,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",5.45e-05,17554300,21
rs10099413,128522063,Type 2 diabetes,0.0008439999999999999,17463246,8
rs10100098,4179859,Type 2 diabetes,0.000149,17463246,8
rs10100569,114349314,Diabetes Mellitus,3.570000000000001e-05,pha003059,8
rs10100689,129452476,Type 2 diabetes,6.04e-05,22456796,8
rs10100996,109580680,Type 2 diabetes,0.000145,17463246,8
rs10100996,109580680,Type 2 diabetes,0.000145,17463246,8
rs10101004,83971478,Type 2 diabetes,0.000562,17463246,8
rs10101431,129437962,Type 2 diabetes,7.31e-05,22456796,8
rs10103231,60413073,Type 2 diabetes,3.289999999999999e-05,22158537,8
rs1010342,1068819,Type 2 diabetes,0.000665,17463246,4
rs10104810,2384141,Type 2 diabetes,0.0009130000000000001,17463246,8
rs1010527,13508265,Type 2 diabetes,0.000712,17463246,5
rs10106377,6622327,Type 2 diabetes,0.0008619999999999999,17463246,8
rs10106654,96903985,Type 2 diabetes,6.47e-05,20581827,8
rs1010715,59395019,"Type 2 diabetes, combined control dataset, gender differentiated",0.00014,17554300,20
rs10108770,129431769,Type 2 diabetes,7.31e-05,22456796,8
rs1010966,146655481,Type 2 diabetes,0.0002,20862305,5
rs10109771,143488721,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis",0.0008990000000000001,17554300,8
rs10109871,137041792,Type 2 diabetes,0.0007469999999999999,17463246,8
rs10110189,15393380,Type 2 diabetes,0.000598,17554300,8
rs10110856,109567140,Type 2 diabetes,0.00018600000000000002,17463246,8
rs10110856,109567140,Type 2 diabetes,0.00018600000000000002,17463246,8
rs10111313,96905699,Type 2 diabetes,6.620000000000001e-05,20581827,8
rs10111402,91235642,Type 2 diabetes,0.000726,17463246,8
rs10111426,60429078,Type 2 diabetes,6.759999999999999e-05,22158537,8
rs10111769,20958756,Type 2 diabetes,0.000495,17463246,8
rs1011179,19097299,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.00078,21150874,11
rs10111830,2302926,Type 2 diabetes,0.0009400000000000001,17554300,8
rs10111834,14868636,"Type 2 diabetes, gender differentiated",0.000515,17554300,8
rs10112734,84717841,Type 2 diabetes,7.25e-05,22158537,8
rs10112734,84717841,Type 2 diabetes,8.18e-05,22158537,8
rs1011312,26927221,Body mass index (BMI) in Type 2 diabetes,0.000348,17463246,22
rs1011312,26927221,Type 2 diabetes,0.000348,17463246,22
rs10114224,117613032,Type 2 diabetes,0.000592,17463246,9
rs10114243,4021656,Weight in Type 2 diabetes,0.000917,17463246,9
rs10114243,4021656,Type 2 diabetes,0.000917,17463246,9
rs10114386,91143074,"Type 2 diabetes, combined control dataset",0.000118,17554300,9
rs1011490,5667482,Type 2 diabetes,0.000426,17463246,16
rs10114955,89597085,Type 2 diabetes,0.000236,17463246,9
rs10114955,89597085,Waist hip ratio in Type 2 diabetes,0.000236,17463246,9
rs10114955,89597085,Waist circumference in Type 2 diabetes,0.0007830000000000001,17463246,9
rs10115407,34050307,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.00031099999999999997,17554300,9
rs10115622,73306551,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.00040599999999999995,17554300,9
rs10116149,11033102,"Type 2 diabetes, combined control dataset, gender differentiated",0.000728,17554300,9
rs10116210,73284493,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",8.44e-05,17554300,9
rs10116332,111555640,Type 2 diabetes,0.000389,17554300,9
rs10116577,29281634,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.000138,21150874,9
rs10117261,92726922,Type 2 diabetes,0.00011999999999999999,17463246,9
rs10117499,97464447,Type 2 diabetes,0.00015800000000000002,17463246,9
rs10118016,25192085,Type 2 diabetes,0.000339,17463246,9
rs10119360,84130607,Type 2 diabetes,0.0005780000000000001,17463246,9
rs10120268,111548104,Type 2 diabetes,0.0001,17463249,9
rs10120268,111548104,Type 2 diabetes,0.000102,17554300,9
rs10121193,110581046,Type 2 diabetes,8.4e-05,17463248,9
rs10121618,124639787,"Type 2 diabetes, combined control dataset, gender differentiated",0.000933,17554300,9
rs1012168,36452658,Type 2 diabetes,0.000184,17554300,15
rs1012189,58272001,Diabetic retinopathy in Type 2 diabetes mellitus,0.000454,23562823,4
rs1012226,71357539,Type 2 diabetes,0.000586,17463246,12
rs10122691,8458811,Type 2 diabetes,0.0009710000000000001,17463246,9
rs10123287,73308567,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.000773,17554300,9
rs10123826,104710163,Waist hip ratio in Type 2 diabetes,0.0009789999999999998,17463246,9
rs10123826,104710163,Type 2 diabetes,0.0009789999999999998,17463246,9
rs10124217,97447430,Type 2 diabetes,0.000127,17463246,9
rs10124357,79429800,Type 2 diabetes,0.000746,17463246,9
rs1012466,175109884,Type 2 diabetes,0.000458,22961080,1
rs10124818,1463618,Diabetic nephropathy in type 2 diabetes mellitus - end stage renal disease,0.0007070000000000001,21150874,9
rs10124873,7524720,Type 2 diabetes,0.000126,17463246,9
rs10125370,90650880,Type 2 diabetes,0.000199,17463246,9
rs10125663,117886416,Type 2 diabetes,0.000634,17463246,9
rs1012725,71605711,Type 2 diabetes,0.000938,17463246,14
rs10127888,120498250,Type 2 diabetes,1e-05,17463246,1
rs1012835,86628370,"Type 2 diabetes, combined control dataset",0.000828,17554300,7
rs10128513,71136391,Type 2 diabetes,0.000719,17463246,10
rs10128596,26770983,"Type 2 diabetes, combined control dataset, gender differentiated",0.000833,17554300,11
rs10128675,86608002,Type 2 diabetes,0.000171,17463246,11
rs10131076,80774385,Type 2 diabetes,0.00013700000000000002,17463246,14
rs10131436,42319212,Waist circumference in Type 2 diabetes,0.000759,17463246,14
rs1013264,84820483,Type 2 diabetes,0.00059,17463246,7
rs10133171,89592955,Type 2 diabetes,0.000293,17463246,14
rs10133171,89592955,Type 2 diabetes,0.000293,17463246,14
rs10133508,89587523,Type 2 diabetes,0.00027,17463246,14
rs10133508,89587523,Type 2 diabetes,0.00027,17463246,14
rs10133593,89587535,Type 2 diabetes,0.00027,17463246,14
rs10133593,89587535,Type 2 diabetes,0.00027,17463246,14
rs10133970,29201775,Type 2 diabetes,0.00021400000000000002,17463246,14
rs10134921,95280334,"Type 2 diabetes, combined control dataset",0.0008460000000000001,17554300,14
rs1013513,35353740,Type 2 diabetes,0.0009630000000000001,17463246,22
rs10135197,39053660,Type 2 diabetes,6.1e-05,17463248,14
rs10135394,58443167,"Type 2 diabetes, combined control dataset",0.00045599999999999997,17554300,14
rs10135609,89593284,Type 2 diabetes,0.000293,17463246,14
rs10135609,89593284,Type 2 diabetes,0.000293,17463246,14
rs10135673,36066503,Type 2 diabetes,0.000967,17463246,14
rs10135692,89593273,Type 2 diabetes,0.000293,17463246,14
rs10135692,89593273,Type 2 diabetes,0.000293,17463246,14
rs10136944,95860287,Type 2 diabetes,0.00081,17463246,14
rs10136944,95860287,Height in Type 2 diabetes cases,0.00081,17463246,14
rs10137303,96728002,"Type 2 diabetes, combined control dataset",0.000505,17554300,14
rs10137988,39452827,Type 2 diabetes,0.000375,17463246,14
rs10138342,39116357,Type 2 diabetes,4e-05,17463248,14
rs1013893,57184113,Type 2 diabetes,0.000381,22158537,6
rs10139313,95278899,"Type 2 diabetes, combined control dataset",0.00021400000000000002,17554300,14
rs10139328,88471562,Type 2 diabetes,0.0009720000000000001,17463246,14
rs10139481,104521894,"Type 2 diabetes, combined control dataset",0.0008710000000000001,17554300,14
rs1014098,119458215,Type 2 diabetes,0.00042800000000000005,17554300,1
rs10140997,39812231,Type 2 diabetes,9.75e-05,22456796,14
rs10141455,40813248,"Type 2 diabetes, Hypertension, Coronary artery disease (CAD), combined case analysis, gender differentiated",0.0008560000000000001,17554300,14
rs10141502,43093389,"Type 2 diabetes, gender differentiated",0.000857,17554300,14
rs10141957,39087269,Type 2 diabetes,1.1e-05,17463248,14
rs10143447,53731553,Weight in Type 2 diabetes,0.00058,17463246,14
rs10143447,53731553,Type 2 diabetes,0.00058,17463246,14
rs1014395,195867099,Type 2 diabetes,0.000229,17463246,2
rs10144234,51172219,Waist hip ratio in Type 2 diabetes,0.0004,17463246,14
rs10144234,51172219,Type 2 diabetes,0.0004,17463246,14
rs10144855,55212242,"Type 2 diabetes, gender differentiated",5.479999999999999e-05,17554300,14
rs10145220,29195007,Type 2 diabetes,0.000245,17463246,14
rs10145220,29195007,Type 2 diabetes,0.000245,17463246,14
rs10145493,39081388,Type 2 diabetes,5.6000000000000006e-05,17463248,14
rs10147171,96727874,"Type 2 diabetes, combined control dataset",0.000319,17554300,14
rs10147231,95280592,"Type 2 diabetes, combined control dataset",0.00023199999999999997,17554300,14
rs10147574,89593039,Type 2 diabetes,0.00027,17463246,14
rs10147574,89593039,Type 2 diabetes,0.00027,17463246,14
rs10147839,23111193,Type 2 diabetes,0.000241,17554300,14
